"","date","tweet_count"
"796",2020-03-13,93000
"797",2020-03-14,69000
"798",2020-03-15,46000
"799",2020-03-16,48000
"800",2020-03-17,65000
"801",2020-03-18,44000
"802",2020-03-19,34000
"803",2020-03-20,34000
"804",2020-03-21,31000
"805",2020-03-22,48000
"806",2020-03-23,47000
"807",2020-03-24,61000
"808",2020-03-25,51000
"809",2020-03-26,31000
"810",2020-03-27,39000
"811",2020-03-28,43000
"812",2020-03-29,38000
"813",2020-03-30,46000
"814",2020-03-31,55000
"815",2020-04-01,85000
"816",2020-04-02,60000
"817",2020-04-03,38000
"818",2020-04-04,45000
"819",2020-04-05,44000
"820",2020-04-06,39000
"821",2020-04-07,54000
"822",2020-04-08,77000
"823",2020-04-09,49000
"824",2020-04-10,75000
"825",2020-04-11,36000
"826",2020-04-12,31000
"827",2020-04-13,53000
"828",2020-04-14,39000
"829",2020-04-15,113000
"830",2020-04-16,101000
"831",2020-04-17,105000
"832",2020-04-18,41000
"833",2020-04-19,37000
"834",2020-04-20,31000
"835",2020-04-21,47000
"836",2020-04-22,45000
"837",2020-04-23,61000
"838",2020-04-24,39000
"839",2020-04-25,41000
"840",2020-04-26,34000
"841",2020-04-27,32000
"842",2020-04-28,56000
"843",2020-04-29,50000
"844",2020-04-30,66000
"845",2020-05-01,80000
"846",2020-05-02,66000
"847",2020-05-03,58000
"848",2020-05-04,52000
"849",2020-05-05,54000
"850",2020-05-06,122000
"851",2020-05-07,68000
"852",2020-05-08,62000
"853",2020-05-09,73000
"854",2020-05-10,39000
"855",2020-05-11,54000
"856",2020-05-12,45000
"857",2020-05-13,37000
"858",2020-05-14,51000
"859",2020-05-15,50000
"860",2020-05-16,56000
"861",2020-05-17,78000
"862",2020-05-18,61000
"863",2020-05-19,52000
"864",2020-05-20,86000
"865",2020-05-21,62000
"866",2020-05-22,93000
"867",2020-05-23,57000
"868",2020-05-24,63000
"869",2020-05-25,63000
"870",2020-05-26,48000
"871",2020-05-27,79000
"872",2020-05-28,73000
"873",2020-05-29,109000
"874",2020-05-30,78000
"875",2020-05-31,70000
"876",2020-06-01,49000
"877",2020-06-02,159000
"878",2020-06-03,95000
"879",2020-06-04,92000
"880",2020-06-05,81000
"881",2020-06-06,53000
"882",2020-06-07,86000
"883",2020-06-08,108000
"884",2020-06-09,91000
"885",2020-06-10,109000
"886",2020-06-11,89000
"887",2020-06-12,56000
"888",2020-06-13,66000
"889",2020-06-14,45000
"890",2020-06-15,70000
"891",2020-06-16,54000
"892",2020-06-17,40000
"893",2020-06-18,52000
"894",2020-06-19,65000
"895",2020-06-20,69000
"896",2020-06-21,43000
"897",2020-06-22,52000
"898",2020-06-23,69000
"899",2020-06-24,54000
"900",2020-06-25,53000
"901",2020-06-26,67000
"902",2020-06-27,79000
"903",2020-06-28,79000
"904",2020-06-29,80000
"905",2020-06-30,63000
"906",2020-07-01,79000
"907",2020-07-02,82000
"908",2020-07-03,53000
"909",2020-07-04,54000
"910",2020-07-05,58000
"911",2020-07-06,57000
"912",2020-07-07,65000
"913",2020-07-08,59000
"914",2020-07-09,85000
"915",2020-07-10,59000
"916",2020-07-11,90000
"917",2020-07-12,60000
"918",2020-07-13,113000
"919",2020-07-14,57000
"920",2020-07-15,74000
"921",2020-07-16,68000
"922",2020-07-17,69000
"923",2020-07-18,NA
"924",2020-07-19,49000
"925",2020-07-20,48000
"926",2020-07-21,72000
"927",2020-07-22,81000
"928",2020-07-23,65000
"929",2020-07-24,58000
"930",2020-07-25,98000
"931",2020-07-26,61000
"932",2020-07-27,114000
"933",2020-07-28,114000
"934",2020-07-29,81000
"935",2020-07-30,64000
"936",2020-07-31,77000
"937",2020-08-01,118000
"938",2020-08-02,92000
"939",2020-08-03,91000
"940",2020-08-04,74000
"941",2020-08-05,130000
"942",2020-08-06,88000
"943",2020-08-07,61000
"944",2020-08-08,78000
"945",2020-08-09,72000
"946",2020-08-10,98000
"947",2020-08-11,59000
"948",2020-08-12,98000
"949",2020-08-13,97000
"950",2020-08-14,95000
"951",2020-08-15,82000
"952",2020-08-16,56000
"953",2020-08-17,150000
"954",2020-08-18,98000
"955",2020-08-19,128000
"956",2020-08-20,82000
"957",2020-08-21,97000
"958",2020-08-22,257000
"959",2020-08-23,123000
"960",2020-08-24,135000
"961",2020-08-25,104000
"962",2020-08-26,86000
"963",2020-08-27,52000
"964",2020-08-28,71000
"965",2020-08-29,49000
"966",2020-08-30,52000
"967",2020-08-31,39000
"968",2020-09-01,47000
"969",2020-09-02,45000
"970",2020-09-03,70000
"971",2020-09-04,66000
"972",2020-09-05,122000
"973",2020-09-06,61000
"974",2020-09-07,64000
"975",2020-09-08,49000
"976",2020-09-09,51000
"977",2020-09-10,71000
"978",2020-09-11,62000
"979",2020-09-12,55000
"980",2020-09-13,68000
"981",2020-09-14,59000
"982",2020-09-15,87000
"983",2020-09-16,69000
"984",2020-09-17,49000
"985",2020-09-18,66000
"986",2020-09-19,35000
"987",2020-09-20,58000
"988",2020-09-21,55000
"989",2020-09-22,62000
"990",2020-09-23,40000
"991",2020-09-24,79000
"992",2020-09-25,87000
"993",2020-09-26,54000
"994",2020-09-27,62000
"995",2020-09-28,92000
"996",2020-09-29,70000
"997",2020-09-30,50000
"998",2020-10-01,118000
"999",2020-10-02,110000
"1000",2020-10-03,41000
"1001",2020-10-04,33000
"1002",2020-10-05,38000
"1003",2020-10-06,44000
"1004",2020-10-07,43000
"1005",2020-10-08,42000
"1006",2020-10-09,97000
"1007",2020-10-10,70000
"1008",2020-10-11,71000
"1009",2020-10-12,50000
"1010",2020-10-13,79000
"1011",2020-10-14,55000
"1012",2020-10-15,38000
"1013",2020-10-16,99000
"1014",2020-10-17,207000
"1015",2020-10-18,109000
"1016",2020-10-19,72000
"1017",2020-10-20,85000
"1018",2020-10-21,91000
"1019",2020-10-22,118000
"1020",2020-10-23,76000
"1021",2020-10-24,64000
"1022",2020-10-25,86000
"1023",2020-10-26,55000
"1024",2020-10-27,158000
"1025",2020-10-28,171000
"1026",2020-10-29,164000
"1027",2020-10-30,115000
"1028",2020-10-31,85000
"1029",2020-11-01,103000
"1030",2020-11-02,105000
"1031",2020-11-03,77000
"1032",2020-11-04,113000
"1033",2020-11-05,161000
"1034",2020-11-06,176000
"1035",2020-11-07,230000
"1036",2020-11-08,372000
"1037",2020-11-09,188000
"1038",2020-11-10,119000
"1039",2020-11-11,85000
"1040",2020-11-12,118000
